Group 1,Group 2,H,p-value,q-value
Germ (n=53),Seed (n=92),0.00743367008669793,0.9312925386092743,0.9312925386092743
Germ (n=53),Soil (n=65),76.11048773645894,2.6822890979559516e-18,4.0234336469339274e-18
Seed (n=92),Soil (n=65),105.7096439608822,8.53708817092902e-25,2.5611264512787063e-24
