sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
Germ_P3S2_Colza_c	15805	8208	8208	7799	7697
Soil_P3S2_c	15516	6847	6847	6492	6404
Soil_P3S1_c	17095	8503	8503	8120	8089
Soil_P3S4_b	16078	7663	7663	7267	7082
Soil_P5S2_c	17405	8134	8134	7792	7769
Germ_P2S2_Chanvre_c	11746	5707	5707	4695	4651
Soil_P2S1_c	17135	8200	8200	7623	7437
Seed_P2S2_b	20486	10524	10524	10185	9849
Soil_P7S4_c	20120	9935	9935	9404	9190
Germ_P3S2_Colza_a	17325	8869	8869	8414	8361
Seed_P7S1_b	18397	9295	9295	9124	8811
Seed_P1S1_a	24293	11957	11957	11493	10962
Soil_P4S4_b	17303	8325	8325	7885	7885
Soil_P2S4_b	18804	9010	9010	8644	8532
Germ_P3S2_Colza_myro_b	16942	8745	8745	8287	8183
Germ_P4S1_GR24_c	12908	6068	6068	4208	4187
Seed_P2S2_c	19377	9844	9844	9644	9223
Seed_P5S1_b	18009	9236	9236	9066	8695
Seed_P6S3_b	19259	9975	9975	9658	9098
Seed_P6S1_a	21354	10998	10998	10732	10173
Seed_P4S4_a	17075	8836	8836	8617	8121
Germ_P6S1_ACN_a	19836	10148	10148	9693	9667
Seed_P4S3_c	27072	13954	13954	13443	12326
Seed_PBS_a	19578	9665	9665	9631	9589
Soil_P2S2_a	16417	7782	7782	7569	7527
Soil_P7S1_b	17548	8933	8933	8452	8425
Seed_P5S1_c	18839	9704	9704	9511	9076
Germ_P2S2_Chanvre_a	13435	6095	6095	5589	5503
Germ_P2S2_GR24_c	12025	5869	5869	5479	5479
Germ_P6S1_Chanvre_a	12626	5793	5793	3220	3220
Soil_P6S1_a	14770	6691	6691	6307	6198
Seed_P4S4_b	15905	8270	8270	8024	7650
Soil_P3S1_b	16454	8200	8200	7773	7737
Seed_P6S1_c	23602	11851	11851	11434	10921
Germ_P4S1_ACN_a	13321	6379	6379	3737	3737
Seed_P1S3_b	25672	13155	13155	12821	11970
Germ_P3S2_Chanvre_b	12313	6204	6204	5790	5744
Seed_P4S1_b	19134	10110	10110	9672	9394
Seed_P4S3_b	20412	10521	10521	10264	9452
Seed_Pram_120_a	17374	8944	8944	8763	8627
Seed_P3S3_b	23700	12488	12488	12186	12057
Soil_P4S4_a	17915	8376	8376	7920	7885
Germ_P4S1_Colza_c	13406	7213	7213	6173	6113
Seed_Pram_120_b	16129	8261	8261	8069	7934
Soil_P4S1_a	15205	7519	7519	6917	6625
Seed_P1S4_a	21409	10850	10850	10611	10315
Seed_P1S2_b	18492	9311	9311	9011	8550
Germ_P6S1_Chanvre_c	10376	4904	4904	2499	2499
Soil_P7S4_b	18026	9209	9209	8912	8701
Seed_P2S4_b	21010	10800	10800	10524	10073
Soil_P2S3_a	17666	8426	8426	8055	8018
Seed_Pram_120_c	17641	9075	9075	8851	8678
Germ_P3S2_ACN_b	12794	6555	6555	5174	5155
Germ_P2S2_Colza_myro_b	11902	5721	5721	5338	5240
Soil_P2S1_a	16543	7698	7698	7157	7141
Seed_P1S1_c	22742	11326	11326	11082	10463
Seed_P1S2_c	18109	8999	8999	8793	8357
Seed_P1S4_c	20944	10449	10449	10231	9983
Soil_P6S3_a	16307	7919	7919	7521	7439
Soil_P7S2_a	13596	6433	6433	4960	4871
Seed_P4S4_c	18405	9423	9423	9172	8778
Soil_P2S3_b	17803	8612	8612	8160	8154
Germ_P6S1_Colza_b	12674	6098	6098	3648	3648
Seed_P1S2_a	19112	9592	9592	9326	8834
Seed_P4S2_b	20807	10746	10746	10518	9845
Soil_P7S3_c	16713	8382	8382	7544	7544
Seed_P2S1_b	17045	9004	9004	8855	8459
Seed_PBS_b	15703	7899	7899	7609	7609
Germ_P2S2_Colza_c	9146	4289	4289	3654	3643
Germ_Control_b	16438	8208	8208	8111	7932
Seed_P6S3_c	17041	8531	8531	8033	7631
Soil_P3S4_a	16402	7913	7913	7408	7386
Germ_P3S2_Chanvre_a	12536	6426	6426	6215	6206
Seed_P4S2_a	20258	10735	10735	10410	9810
Germ_P2S2_Tabac_b	13353	6561	6561	6083	5951
Germ_P2S2_ACN_a	16258	7993	7993	7586	7501
Germ_P2S2_Chanvre_b	11684	5002	5002	4737	4719
Soil_P4S3_c	20004	9759	9759	9207	9006
Seed_P7S2_a	21501	10884	10884	10612	10382
Germ_P6S1_Colza_c	16385	8300	8300	7612	7570
Seed_P7S4_c	17734	8767	8767	8543	8385
Germ_P2S2_Colza_myro_a	13472	6733	6733	6421	6366
Seed_H2O_a	13327	6694	6694	6585	6585
Seed_P2S4_c	23050	11935	11935	11748	11188
Germ_Mock_a	15577	7694	7694	7694	6127
Seed_P2S3_b	20946	10783	10783	10512	10163
Soil_P3S2_b	17126	8580	8580	8165	7808
Seed_P4S1_c	17257	8986	8986	8776	8418
Soil_P4S1_b	15594	7878	7878	7341	6428
Soil_P4S3_a	16455	8150	8150	7543	7418
Soil_P6S2_c	14307	7146	7146	6083	6048
Seed_P1S3_c	29531	14663	14663	14275	13120
Soil_Control_a	20421	10050	10050	9747	9449
Soil_P7S4_a	16188	8113	8113	7630	7555
Soil_P2S4_c	21130	10139	10139	9743	9596
Seed_P6S2_a	19798	10329	10329	10051	9493
Soil_P5S1_a	15676	7467	7467	6849	6849
Germ_P2S2_Tabac_c	12350	5979	5979	5286	5276
Seed_PBS_c	18209	8892	8892	8701	8701
Germ_P3S2_GR24_b	12429	6430	6430	6236	6236
Germ_P3S2_Colza_myro_a	17833	9248	9248	8773	8587
Seed_Mock_a	12034	6066	6066	6066	4901
Germ_P6S1_Colza_a	14925	7297	7297	6489	6431
Seed_H2O_c	15766	7641	7641	6508	6508
Soil_P3S2_a	15478	7599	7599	7301	7052
Soil_P7S2_b	16351	7818	7818	7307	7054
Germ_P6S1_Tabac_b	8824	4108	4108	2289	2289
Seed_P4S1_a	17450	9013	9013	8874	8535
Germ_P2S2_Colza_myro_c	16107	8320	8320	7816	7534
Germ_P4S1_Chanvre_c	13418	6650	6650	5198	5175
Seed_P7S2_c	22347	11421	11421	10385	10012
Germ_P3S2_ACN_a	18517	9508	9508	9024	9005
Germ_P6S1_ACN_c	15667	8069	8069	7343	7295
Seed_P3S5_c	18056	9306	9306	8978	8720
Soil_Mock_a	13918	7129	7129	7129	5767
Seed_P3S4_c	22625	11679	11679	11417	11183
Soil_P3S3_a	19705	9952	9952	9523	9386
Seed_P3S1_a	20244	10484	10484	10222	10071
Soil_P3S3_c	15189	7166	7166	6240	6187
Soil_P4S1_c	15826	7893	7893	7192	6881
Germ_P3S2_Chanvre_c	14454	7563	7563	7208	7053
Soil_P7S1_c	20303	10443	10443	10134	9994
Germ_P4S1_GR24_a	14738	7127	7127	3797	3797
