Group 1,Group 2,H,p-value,q-value
NA (n=13),hemp (n=60),10.807484407484424,0.0010109057210618772,0.005464019734997653
NA (n=13),oIlseed_rape (n=60),6.96237006237007,0.00832416946767553,0.01664833893535106
NA (n=13),tobacco (n=102),9.72140739584961,0.001821339911665884,0.005464019734997653
hemp (n=60),oIlseed_rape (n=60),0.9025068870523114,0.34211041081521204,0.41053249297825445
hemp (n=60),tobacco (n=102),0.36002646457359333,0.5484915381224506,0.5484915381224506
oIlseed_rape (n=60),tobacco (n=102),1.3339227715626407,0.24810854985436998,0.372162824781555
