Soil_P2S2_c,6661.0
Germ_P3S2_Tabac_a,6634.0
Soil_P4S1_a,6625.0
Seed_H2O_a,6585.0
Germ_P6S1_Colza_myro_a,6554.0
Seed_H2O_c,6508.0
Germ_P6S1_Colza_a,6431.0
Soil_P4S1_b,6428.0
Soil_P3S2_c,6404.0
Soil_P6S3_b,6400.0
Germ_P2S2_Colza_myro_a,6366.0
Germ_P3S2_GR24_b,6236.0
Germ_P3S2_Chanvre_a,6206.0
Soil_P6S1_a,6198.0
Soil_P3S3_c,6187.0
Germ_Control_a,6177.0
Soil_P6S1_b,6154.0
Germ_Mock_a,6127.0
Germ_P4S1_Colza_c,6113.0
Soil_P6S2_c,6048.0
Soil_P5S1_c,5988.0
Germ_P2S2_Tabac_b,5951.0
Germ_P3S2_GR24_a,5856.0
Soil_Mock_a,5767.0
Germ_P3S2_Chanvre_b,5744.0
Germ_P4S1_Chanvre_b,5568.0
Germ_P2S2_Chanvre_a,5503.0
Germ_P2S2_GR24_c,5479.0
Germ_P2S2_Tabac_c,5276.0
Germ_P2S2_Colza_myro_b,5240.0
Germ_P2S2_Colza_a,5184.0
Germ_P4S1_Chanvre_c,5175.0
Germ_P3S2_ACN_b,5155.0
Germ_P6S1_Tabac_a,5104.0
Germ_P4S1_Colza_b,5053.0
Germ_P2S2_ACN_b,4968.0
Seed_Mock_a,4901.0
Soil_P7S2_a,4871.0
Germ_P4S1_Tabac_a,4729.0
Germ_P2S2_Chanvre_b,4719.0
Germ_P2S2_Chanvre_c,4651.0
Germ_P2S2_Tabac_a,4647.0
Germ_P4S1_Tabac_b,4632.0
Soil_P7S3_b,4328.0
Germ_P4S1_Tabac_c,4321.0
Germ_P4S1_Chanvre_a,4315.0
Germ_P2S2_Colza_b,4302.0
Germ_P2S2_GR24_b,4252.0
Germ_P4S1_GR24_c,4187.0
Germ_P4S1_Colza_myro_c,4169.0
Germ_P6S1_GR24_c,4115.0
Germ_P6S1_Colza_myro_b,4048.0
Germ_P2S2_GR24_a,3854.0
Germ_P4S1_GR24_a,3797.0
Germ_P4S1_ACN_a,3737.0
Germ_P6S1_Colza_b,3648.0
Germ_P2S2_Colza_c,3643.0
Germ_P4S1_ACN_b,3506.0
Soil_P7S3_a,3397.0
Germ_P6S1_Tabac_c,3386.0
Germ_P6S1_Chanvre_a,3220.0
Germ_P4S1_ACN_c,2992.0
Germ_P4S1_Colza_a,2850.0
Soil_P3S5_a,2755.0
Germ_P6S1_Chanvre_c,2499.0
Germ_P4S1_Colza_myro_b,2328.0
Germ_P6S1_Tabac_b,2289.0
Germ_P6S1_GR24_a,1431.0
Germ_P4S1_Colza_myro_a,1222.0
