Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Germ-P2S2-ACN-b_S166.16S.R1	Germ-P2S2-ACN-b_S166.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24181.0	0.0	231-232	52.0	13.088788718415284	231.99991729043464	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-b_S166.16S.R2	Germ-P2S2-ACN-b_S166.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24181.0	0.0	230-232	53.0	18.262272031760475	231.00028948347875	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-c_S167.16S.R1	Germ-P2S2-ACN-c_S167.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21100.0	0.0	231-232	52.0	13.3696682464455	231.99995260663508	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-c_S167.16S.R2	Germ-P2S2-ACN-c_S167.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21100.0	0.0	230-232	53.0	19.03317535545024	231.0003317535545	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-a_S217.16S.R1	Germ-P2S2-Chanvre-a_S217.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20153.0	0.0	231-232	52.0	15.253312161961	231.9999503795961	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-a_S217.16S.R2	Germ-P2S2-Chanvre-a_S217.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20153.0	0.0	230-232	52.0	22.736069071602245	231.00019848161563	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-b_S218.16S.R1	Germ-P2S2-Chanvre-b_S218.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20691.0	0.0	232.0	52.0	15.045188729399255	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-Chanvre-b_S218.16S.R2	Germ-P2S2-Chanvre-b_S218.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20691.0	0.0	231-232	53.0	22.101396742545067	231.0002899811512	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-c_S219.16S.R1	Germ-P2S2-Chanvre-c_S219.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20109.0	0.0	232.0	52.0	13.939032274106122	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-Chanvre-c_S219.16S.R2	Germ-P2S2-Chanvre-c_S219.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20109.0	0.0	230-232	53.0	20.319260032821123	231.00044756079367	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-a_S191.16S.R1	Germ-P2S2-Colza-a_S191.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21184.0	0.0	231-232	52.0	14.02001510574018	231.99995279456192	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-a_S191.16S.R2	Germ-P2S2-Colza-a_S191.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21184.0	0.0	230-232	53.0	20.000944108761328	230.99995279456192	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-b_S192.16S.R1	Germ-P2S2-Colza-b_S192.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21018.0	0.0	231-232	52.0	14.030830716528689	231.99985726520126	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-b_S192.16S.R2	Germ-P2S2-Colza-b_S192.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21018.0	0.0	231-232	52.0	20.92492149586069	231.000190313065	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Colza-c_S193.16S.R1	Germ-P2S2-Colza-c_S193.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19423.0	0.0	231-232	52.0	14.626988621737116	231.99989702929517	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Colza-c_S193.16S.R2	Germ-P2S2-Colza-c_S193.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19423.0	0.0	231-232	52.0	21.1759254492097	231.00005148535243	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-a_S194.16S.R1	Germ-P2S2-Colza-myro-a_S194.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20554.0	0.0	231-232	52.0	13.938892672959035	231.99985404300867	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-a_S194.16S.R2	Germ-P2S2-Colza-myro-a_S194.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20554.0	0.0	230-232	53.0	19.908533618760337	231.0000973046609	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-b_S195.16S.R1	Germ-P2S2-Colza-myro-b_S195.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20138.0	0.0	231-232	52.0	14.842586155526865	231.99985102790743	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-b_S195.16S.R2	Germ-P2S2-Colza-myro-b_S195.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20138.0	0.0	230-232	53.0	22.440162876154535	230.9999503426358	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-c_S196.16S.R1	Germ-P2S2-Colza-myro-c_S196.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21936.0	0.0	231-232	52.0	15.467724288840262	231.99995441283735	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-c_S196.16S.R2	Germ-P2S2-Colza-myro-c_S196.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21936.0	0.0	230-232	53.0	22.232859226841722	231.0004102844639	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-a_S168.16S.R1	Germ-P2S2-GR24-a_S168.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18942.0	0.0	231-232	52.0	15.119839510083413	231.99994720726428	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-a_S168.16S.R2	Germ-P2S2-GR24-a_S168.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18942.0	0.0	230-232	53.0	21.6872558335973	231.00005279273572	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-b_S169.16S.R1	Germ-P2S2-GR24-b_S169.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19066.0	0.0	232.0	52.0	16.63694534773943	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-GR24-b_S169.16S.R2	Germ-P2S2-GR24-b_S169.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19066.0	0.0	231-232	53.0	24.079513269694743	231.0002622469317	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-c_S170.16S.R1	Germ-P2S2-GR24-c_S170.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19291.0	0.0	231-232	52.0	13.146026644549272	231.9999481623555	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-c_S170.16S.R2	Germ-P2S2-GR24-c_S170.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19291.0	0.0	230-232	53.0	18.02913275620756	231.00031102586698	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-a_S220.16S.R1	Germ-P2S2-Tabac-a_S220.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20521.0	0.0	232.0	52.0	15.413478875298475	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-Tabac-a_S220.16S.R2	Germ-P2S2-Tabac-a_S220.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20521.0	0.0	230-232	53.0	22.23088543443302	230.99990253886264	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-b_S221.16S.R1	Germ-P2S2-Tabac-b_S221.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17579.0	0.0	231-232	52.0	14.369418055634565	231.99994311394278	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-b_S221.16S.R2	Germ-P2S2-Tabac-b_S221.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17579.0	0.0	231-232	53.0	22.117299050002845	231.00034131634337	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-c_S222.16S.R1	Germ-P2S2-Tabac-c_S222.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20017.0	0.0	232.0	52.0	14.817405205575259	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P2S2-Tabac-c_S222.16S.R2	Germ-P2S2-Tabac-c_S222.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20017.0	0.0	231-232	53.0	21.87140930209322	231.00034970275266	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-a_S172.16S.R1	Germ-P3S2-ACN-a_S172.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22946.0	0.0	209-232	52.0	12.43353961474767	231.99899764664866	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-ACN-a_S172.16S.R2	Germ-P3S2-ACN-a_S172.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22946.0	0.0	231-232	53.0	18.49124030332084	231.00043580580493	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Germ-P3S2-ACN-b_S173.16S.R1	Germ-P3S2-ACN-b_S173.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20408.0	0.0	232.0	52.0	13.186005488043904	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Germ-P3S2-ACN-b_S173.16S.R2	Germ-P3S2-ACN-b_S173.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20408.0	0.0	230-232	53.0	19.472755782046256	231.000147001176	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-ACN-c_S174.16S.R1	Germ-P3S2-ACN-c_S174.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18608.0	0.0	231-232	52.0	11.957222699914015	231.99978503869303	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-c_S174.16S.R2	Germ-P3S2-ACN-c_S174.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18608.0	0.0	230-232	53.0	17.39036973344798	230.99994625967327	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-a_S223.16S.R1	Germ-P3S2-Chanvre-a_S223.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25472.0	0.0	232.0	53.0	10.631281407035175	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P3S2-Chanvre-a_S223.16S.R2	Germ-P3S2-Chanvre-a_S223.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25472.0	0.0	230-232	54.0	14.419755025125628	231.00003925879398	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-b_S224.16S.R1	Germ-P3S2-Chanvre-b_S224.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22242.0	0.0	231-232	52.0	13.047387824835896	231.99991008002877	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-b_S224.16S.R2	Germ-P3S2-Chanvre-b_S224.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22242.0	0.0	230-232	53.0	16.68914665947307	231.00013487995685	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-c_S225.16S.R1	Germ-P3S2-Chanvre-c_S225.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20933.0	0.0	232.0	53.0	11.723116610137103	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P3S2-Chanvre-c_S225.16S.R2	Germ-P3S2-Chanvre-c_S225.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20933.0	0.0	230-232	53.0	16.2040796827975	231.00047771461328	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-a_S198.16S.R1	Germ-P3S2-Colza-a_S198.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21510.0	0.0	232.0	52.0	13.184565318456531	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P3S2-Colza-a_S198.16S.R2	Germ-P3S2-Colza-a_S198.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21510.0	0.0	231-232	52.0	19.270106927010694	231.0004649000465	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-b_S199.16S.R1	Germ-P3S2-Colza-b_S199.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21686.0	0.0	231-232	52.0	13.921423960158627	231.99995388730056	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-b_S199.16S.R2	Germ-P3S2-Colza-b_S199.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21686.0	0.0	230-232	52.0	19.690122659780503	231.00027667619662	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-c_S200.16S.R1	Germ-P3S2-Colza-c_S200.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20731.0	0.0	231-232	52.0	14.085186435772515	231.99995176306015	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-c_S200.16S.R2	Germ-P3S2-Colza-c_S200.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20731.0	0.0	231-232	52.0	21.595677970189573	231.00024118469923	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-a_S201.16S.R1	Germ-P3S2-Colza-myro-a_S201.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20416.0	0.0	231-232	52.0	13.205329153605017	231.99975509404388	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-a_S201.16S.R2	Germ-P3S2-Colza-myro-a_S201.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20416.0	0.0	230-232	53.0	19.744318181818183	231.00014694357367	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-b_S202.16S.R1	Germ-P3S2-Colza-myro-b_S202.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19438.0	0.0	232.0	52.0	13.494186644716535	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P3S2-Colza-myro-b_S202.16S.R2	Germ-P3S2-Colza-myro-b_S202.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19438.0	0.0	230-232	53.0	21.879823027060397	231.0	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-c_S203.16S.R1	Germ-P3S2-Colza-myro-c_S203.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19381.0	0.0	231-232	52.0	14.116918631649552	231.99989680615036	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-c_S203.16S.R2	Germ-P3S2-Colza-myro-c_S203.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19381.0	0.0	230-232	53.0	20.184716990867344	231.00005159692483	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-GR24-a_S175.16S.R1	Germ-P3S2-GR24-a_S175.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18929.0	0.0	232.0	52.0	12.636695018226002	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Germ-P3S2-GR24-a_S175.16S.R2	Germ-P3S2-GR24-a_S175.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18929.0	0.0	230-232	52.0	18.173173437582545	231.0	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-GR24-b_S176.16S.R1	Germ-P3S2-GR24-b_S176.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18128.0	0.0	231-232	52.0	13.829435127978817	231.99994483671668	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-GR24-b_S176.16S.R2	Germ-P3S2-GR24-b_S176.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18128.0	0.0	230-232	53.0	21.03927625772286	230.99983451015004	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-GR24-c_S177.16S.R1	Germ-P3S2-GR24-c_S177.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	19061.0	0.0	232.0	53.0	12.62263260059808	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
Germ-P3S2-GR24-c_S177.16S.R2	Germ-P3S2-GR24-c_S177.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	19061.0	0.0	230-232	53.0	16.845915744189707	231.0002623157232	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-a_S226.16S.R1	Germ-P3S2-Tabac-a_S226.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20068.0	0.0	231-232	52.0	15.72652979868447	231.99995016942395	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-a_S226.16S.R2	Germ-P3S2-Tabac-a_S226.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20068.0	0.0	230-232	53.0	21.736097269284432	231.0000996611521	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-b_S227.16S.R1	Germ-P3S2-Tabac-b_S227.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21440.0	0.0	232.0	52.0	13.460820895522389	232.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	warn
Germ-P3S2-Tabac-b_S227.16S.R2	Germ-P3S2-Tabac-b_S227.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21440.0	0.0	230-232	53.0	21.394589552238806	231.00013992537313	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-c_S228.16S.R1	Germ-P3S2-Tabac-c_S228.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21209.0	0.0	231-232	52.0	14.111933613088784	231.9999528502051	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-c_S228.16S.R2	Germ-P3S2-Tabac-c_S228.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21209.0	0.0	230-232	53.0	20.722334857843368	231.0000942995898	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass
Germ-P4S1-ACN-a_S178.16S.R1	Germ-P4S1-ACN-a_S178.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	23988.0	0.0	231-232	52.0	14.073703518425878	231.99987493746875	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-a_S178.16S.R2	Germ-P4S1-ACN-a_S178.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	23988.0	0.0	195-232	53.0	20.818742704685675	230.9986659996665	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-b_S179.16S.R1	Germ-P4S1-ACN-b_S179.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	24310.0	0.0	231-232	52.0	14.006581653640476	231.99995886466473	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-b_S179.16S.R2	Germ-P4S1-ACN-b_S179.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	24310.0	0.0	231-232	53.0	20.81447963800905	231.00028794734678	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-c_S180.16S.R1	Germ-P4S1-ACN-c_S180.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22828.0	0.0	231-232	52.0	14.810758717364639	231.99986858244262	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-c_S180.16S.R2	Germ-P4S1-ACN-c_S180.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22828.0	0.0	230-232	53.0	22.15261958997722	231.0	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-a_S229.16S.R1	Germ-P4S1-Chanvre-a_S229.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	25555.0	0.0	231-232	54.0	12.928976716885149	231.99996086871454	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-a_S229.16S.R2	Germ-P4S1-Chanvre-a_S229.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	25555.0	0.0	230-232	54.0	19.096067305810998	231.00003913128546	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-b_S230.16S.R1	Germ-P4S1-Chanvre-b_S230.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	21442.0	0.0	229-232	53.0	13.590150172558529	231.99981345023784	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-b_S230.16S.R2	Germ-P4S1-Chanvre-b_S230.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	21442.0	0.0	230-232	54.0	20.366570282622888	231.00004663744053	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-c_S231.16S.R1	Germ-P4S1-Chanvre-c_S231.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	22261.0	0.0	231-232	54.0	12.429809981582139	231.9999550783882	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-c_S231.16S.R2	Germ-P4S1-Chanvre-c_S231.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	22261.0	0.0	230-232	54.0	18.170791968015813	231.00017968644715	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-a_S205.16S.R1	Germ-P4S1-Colza-a_S205.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20981.0	0.0	231-232	53.0	14.155664648968113	231.99995233782946	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Colza-a_S205.16S.R2	Germ-P4S1-Colza-a_S205.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20981.0	0.0	230-232	53.0	21.600495686573566	230.9998570134884	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
Germ-P4S1-Colza-b_S206.16S.R1	Germ-P4S1-Colza-b_S206.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	20604.0	0.0	231-232	54.0	11.42981945253349	231.9999514657348	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-b_S206.16S.R2	Germ-P4S1-Colza-b_S206.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	20604.0	0.0	230-232	54.0	16.55989128324597	231.0	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-c_S207.16S.R1	Germ-P4S1-Colza-c_S207.16S.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18617.0	0.0	232.0	52.0	15.786646613310415	232.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
Germ-P4S1-Colza-c_S207.16S.R2	Germ-P4S1-Colza-c_S207.16S.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18617.0	0.0	230-232	52.0	23.15625503572004	231.00037600042972	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
