Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Germ-P6S1-Colza-a_S211.16S.R1	11.665710460891184	64.30292598967299
Germ-P6S1-Colza-a_S211.16S.R2	14.105947599923505	54.912985274431044
Germ-P6S1-Colza-b_S212.16S.R1	13.668763102725368	61.15723270440243
Germ-P6S1-Colza-b_S212.16S.R2	15.714884696016771	51.111111111111015
Germ-P6S1-Colza-c_S213.16S.R1	16.626484101351043	60.91070372560614
Germ-P6S1-Colza-c_S213.16S.R2	19.63790201519356	49.310831096756615
Germ-P6S1-Colza-myro-a_S214.16S.R1	15.117482662250284	61.111686160852884
Germ-P6S1-Colza-myro-a_S214.16S.R2	9.383086636994099	57.06966152572195
Germ-P6S1-Colza-myro-b_S215.16S.R1	18.639067332857483	56.30264097073521
Germ-P6S1-Colza-myro-b_S215.16S.R2	13.561741613133476	53.885320009517045
Germ-P6S1-Colza-myro-c_S216.16S.R1	10.752301818998427	63.46732539860768
Germ-P6S1-Colza-myro-c_S216.16S.R2	8.605434538513363	56.40691668538064
Germ-P6S1-GR24-a_S187.16S.R1	10.430208901900462	65.03746340495219
Germ-P6S1-GR24-a_S187.16S.R2	12.816950329975684	56.33404455912269
Germ-P6S1-GR24-b_S188.16S.R1	11.143740340030913	64.86347243688817
Germ-P6S1-GR24-b_S188.16S.R2	11.787738279237507	55.72385368366822
Germ-P6S1-GR24-c_S189.16S.R1	16.276401564537156	62.925684485006556
Germ-P6S1-GR24-c_S189.16S.R2	20.292046936114733	54.44589308996089
Germ-P6S1-Tabac-a_S238.16S.R1	19.265656872531576	55.43596198081684
Germ-P6S1-Tabac-a_S238.16S.R2	21.635345688121173	45.61867974480273
Germ-P6S1-Tabac-b_S239.16S.R1	8.541788672299841	63.820798125993434
Germ-P6S1-Tabac-b_S239.16S.R2	5.69731448172007	55.571822973312116
Germ-P6S1-Tabac-c_S240.16S.R1	15.652786336825425	60.18575578836165
Germ-P6S1-Tabac-c_S240.16S.R2	18.646007571089005	49.08002465005721
Seed-Control-a_S80.16S.R1	10.516045855256282	66.97097459841817
Seed-Control-a_S80.16S.R2	8.826091501446044	62.09275584515147
Seed-H2O-a_S8.16S.R1	12.641706755908805	65.54695670361848
Seed-H2O-a_S8.16S.R2	12.650073206442167	54.90064839991633
Seed-H2O-b_S16.16S.R1	7.1749258788648875	66.36171113934773
Seed-H2O-b_S16.16S.R2	8.369335027530706	59.88987717069038
Seed-H2O-c_S24.16S.R1	8.152153219358032	64.95449872444118
Seed-H2O-c_S24.16S.R2	6.686212542359975	60.19875870997219
Seed-Mock-a_S79.16S.R1	21.32	64.36571428571435
Seed-Mock-a_S79.16S.R2	23.137142857142855	57.49142857142858
Seed-P1S1-a_S1.16S.R1	12.969651833922919	61.351703593371774
Seed-P1S1-a_S1.16S.R2	12.422267734127724	50.68329919940424
Seed-P1S1-b_S9.16S.R1	12.59470436616418	60.54049832070611
Seed-P1S1-b_S9.16S.R2	12.458017652112787	53.63977192845418
Seed-P1S1-c_S17.16S.R1	11.902360298567682	60.81500907807141
Seed-P1S1-c_S17.16S.R2	12.62457131329433	53.30240064555182
Seed-P1S2-a_S25.16S.R1	16.06276878030927	59.99176502882243
Seed-P1S2-a_S25.16S.R2	18.441760453838413	51.33589532436636
Seed-P1S2-b_S33.16S.R1	14.62774173617547	60.26670785706932
Seed-P1S2-b_S33.16S.R2	16.331994645247658	50.88044485634849
Seed-P1S2-c_S41.16S.R1	14.235391628677993	59.35557397430585
Seed-P1S2-c_S41.16S.R2	15.711769581433899	51.68876916701201
Seed-P1S3-a_S49.16S.R1	10.800187178287318	62.414599906410885
Seed-P1S3-a_S49.16S.R2	14.17875526438933	50.28076743097798
Seed-P1S3-b_S57.16S.R1	10.504683970822379	62.720776095086414
Seed-P1S3-b_S57.16S.R2	13.237308845854779	51.37927204058207
Seed-P1S3-c_S65.16S.R1	9.63298553908109	63.023979498444106
Seed-P1S3-c_S65.16S.R2	11.98517298187809	52.28812008054186
Seed-P1S4-a_S73.16S.R1	15.762900532718454	59.382205613421355
Seed-P1S4-a_S73.16S.R2	19.205692931541705	47.82142005247668
Seed-P1S4-b_S81.16S.R1	14.236263080412206	60.458361516730996
Seed-P1S4-b_S81.16S.R2	17.66999562328413	48.29904905900613
Seed-P1S4-c_S88.16S.R1	13.703035274815424	61.47333880229701
Seed-P1S4-c_S88.16S.R2	16.882690730106646	47.79327317473337
Seed-P2S1-a_S2.16S.R1	22.550590219224283	55.67875210792585
Seed-P2S1-a_S2.16S.R2	10.172849915682967	57.02360876897131
Seed-P2S1-b_S10.16S.R1	21.877186843946816	54.54863540937717
Seed-P2S1-b_S10.16S.R2	10.216934919524142	60.10321903428966
Seed-P2S1-c_S18.16S.R1	23.257756563245824	53.16825775656331
Seed-P2S1-c_S18.16S.R2	10.45346062052506	59.85083532219571
Seed-P2S2-a_S26.16S.R1	23.556724099351083	56.72969344372345
Seed-P2S2-a_S26.16S.R2	26.6614455135377	48.14835533676437
Seed-P2S2-b_S34.16S.R1	25.14127196136854	53.30319531490802
Seed-P2S2-b_S34.16S.R2	12.544950169526354	59.13901160998659
Seed-P2S2-c_S42.16S.R1	23.4068341802247	55.06037014591394
Seed-P2S2-c_S42.16S.R2	12.372383571861452	58.612652090811565
Seed-P2S3-a_S50.16S.R1	20.953930057886428	56.16897096110607
Seed-P2S3-a_S50.16S.R2	10.409988996794718	59.76654068793952
Seed-P2S3-b_S58.16S.R1	20.772066109151442	56.45039831952758
Seed-P2S3-b_S58.16S.R2	10.368197851848917	59.422932107328265
Seed-P2S3-c_S66.16S.R1	19.64134362314315	56.83186867109786
Seed-P2S3-c_S66.16S.R2	10.19315697907838	59.69576660570107
Seed-P2S4-a_S74.16S.R1	22.48466766119675	53.766782695176545
Seed-P2S4-a_S74.16S.R2	13.529753025029006	56.808387203712925
Seed-P2S4-b_S82.16S.R1	22.54572257797024	54.07472243976592
Seed-P2S4-b_S82.16S.R2	13.709863177776754	55.83452342562309
Seed-P2S4-c_S89.16S.R1	21.94174024601917	54.60719945664479
Seed-P2S4-c_S89.16S.R2	13.240510150177345	56.61459512489631
Seed-P3S1-a_S3.16S.R1	20.357931749537936	57.89117792904479
Seed-P3S1-a_S3.16S.R2	21.80047784339359	44.47549925618716
Seed-P3S1-b_S11.16S.R1	20.184282888706644	57.42196922186304
Seed-P3S1-b_S11.16S.R2	23.75416083747407	46.99213662019393
Seed-P3S1-c_S19.16S.R1	20.860168103918785	56.70232507368188
Seed-P3S1-c_S19.16S.R2	24.6697958738129	46.25586726339918
Seed-P3S2-a_S27.16S.R1	20.920223084384094	58.40203685741996
Seed-P3S2-a_S27.16S.R2	22.629728419010668	49.508971871969
Seed-P3S2-b_S35.16S.R1	19.09377554595352	59.564404998248236
Seed-P3S2-b_S35.16S.R2	21.31846315543618	49.363540815134854
Seed-P3S2-c_S43.16S.R1	18.382618568405842	60.78856376116008
Seed-P3S2-c_S43.16S.R2	19.997935696960315	51.15859008102393
Seed-P3S3-a_S51.16S.R1	20.41127189642041	57.156638740797156
Seed-P3S3-a_S51.16S.R2	23.985783193703984	47.91063721756788
Seed-P3S3-b_S59.16S.R1	19.49837161104767	57.699953474601315
Seed-P3S3-b_S59.16S.R2	22.679017045214227	46.73687772279318
Seed-P3S3-c_S67.16S.R1	18.45598778851936	58.42083352606503
Seed-P3S3-c_S67.16S.R2	21.97603959480087	47.73116240344143
Seed-P3S4-a_S75.16S.R1	25.59248100013491	52.426136619148295
Seed-P3S4-a_S75.16S.R2	28.749381661195304	42.631649952781416
Seed-P3S4-b_S83.16S.R1	24.144945361653818	53.602346374000625
Seed-P3S4-b_S83.16S.R2	26.652159515587304	44.27361748427077
Seed-P3S4-c_S90.16S.R1	24.27330302046119	54.33582331925952
Seed-P3S4-c_S90.16S.R2	27.04205911010068	42.77362780123414
Seed-P3S5-a_S4.16S.R1	23.548341961662235	56.1074576745487
Seed-P3S5-a_S4.16S.R2	24.490462198591484	44.32162678979522
Seed-P3S5-b_S12.16S.R1	25.446567084792342	54.46567084792341
Seed-P3S5-b_S12.16S.R2	29.09445503302159	44.60795177518732
Seed-P3S5-c_S20.16S.R1	25.450891204315862	55.00608240334266
Seed-P3S5-c_S20.16S.R2	29.095044163537313	44.851113344264064
Seed-P4S1-a_S28.16S.R1	25.834924895473083	52.588654312703255
Seed-P4S1-a_S28.16S.R2	12.187064471171217	59.60873380477988
Seed-P4S1-b_S36.16S.R1	23.574542284219703	55.64661435629179
Seed-P4S1-b_S36.16S.R2	24.789305434466723	46.64341761115952
Seed-P4S1-c_S44.16S.R1	25.15032137673647	54.5407422765913
Seed-P4S1-c_S44.16S.R2	25.907111756168362	45.35558780841802
Seed-P4S2-a_S52.16S.R1	17.05452286519807	61.52339083480672
Seed-P4S2-a_S52.16S.R2	18.99937879294691	52.6783581019735
Seed-P4S2-b_S60.16S.R1	16.59997669088225	61.96340468513262
Seed-P4S2-b_S60.16S.R2	18.658948758789478	52.36004817217665
Seed-P4S2-c_S68.16S.R1	16.191920285930898	61.904761904761834
Seed-P4S2-c_S68.16S.R2	18.527744683923608	51.88634968771435
Seed-P4S3-a_S76.16S.R1	21.80180960214728	54.66037490800465
Seed-P4S3-a_S76.16S.R2	20.17836269968397	48.67310273171999
Seed-P4S3-b_S84.16S.R1	20.16596680663867	56.68866226754654
Seed-P4S3-b_S84.16S.R2	19.10617876424715	48.960207958408304
Seed-P4S3-c_S91.16S.R1	20.407764715072453	55.981720892082926
Seed-P4S3-c_S91.16S.R2	20.7475686442995	46.98668124829114
Seed-P4S4-a_S5.16S.R1	22.050999816547424	58.717054974622364
Seed-P4S4-a_S5.16S.R2	21.292729162844736	46.60306977313026
Seed-P4S4-b_S13.16S.R1	26.526764895569777	53.58436275239355
Seed-P4S4-b_S13.16S.R2	26.814506126903805	45.914570620627956
Seed-P4S4-c_S21.16S.R1	27.862171174509076	52.53268406288049
Seed-P4S4-c_S21.16S.R2	28.020960143968665	43.825755570846354
Seed-P5S1-a_S29.16S.R1	26.279247758582986	52.39448939427069
Seed-P5S1-a_S29.16S.R2	28.608134703695605	41.9144981412639
Seed-P5S1-b_S37.16S.R1	25.493615345671373	52.511672385666884
Seed-P5S1-b_S37.16S.R2	27.586206896551722	41.83495527929352
Seed-P5S1-c_S45.16S.R1	23.919753086419753	53.87295898048581
Seed-P5S1-c_S45.16S.R2	26.299283154121866	42.697132616487465
Seed-P5S2-a_S53.16S.R1	28.646128901499797	52.84150790433728
Seed-P5S2-a_S53.16S.R2	33.32387515200649	42.030806647750346
Seed-P5S2-b_S61.16S.R1	25.66351572441374	54.912743137611386
Seed-P5S2-b_S61.16S.R2	29.42192328667515	43.6647882203236
Seed-P5S2-c_S69.16S.R1	25.395868499316776	54.67004260107716
Seed-P5S2-c_S69.16S.R2	29.22192749778957	43.87107145727835
Seed-P6S1-a_S77.16S.R1	16.641484998920784	62.8189078350961
Seed-P6S1-a_S77.16S.R2	17.29333045542845	54.61256205482414
Seed-P6S1-b_S85.16S.R1	15.568397028116351	64.1528674792405
Seed-P6S1-b_S85.16S.R2	16.204535521779245	56.62603797406882
Seed-P6S1-c_S92.16S.R1	15.36285791778062	64.73323259328137
Seed-P6S1-c_S92.16S.R2	16.808090201092643	55.20554845209037
Seed-P6S2-a_S6.16S.R1	15.61839589413304	63.706350005031716
Seed-P6S2-a_S6.16S.R2	7.874610043272617	57.76894434940119
Seed-P6S2-b_S14.16S.R1	14.323982076758233	64.0463666471849
Seed-P6S2-b_S14.16S.R2	8.367426456263393	60.525034093122905
Seed-P6S2-c_S22.16S.R1	14.746172441579372	63.19634703196343
Seed-P6S2-c_S22.16S.R2	8.342734354015578	61.461187214611854
Seed-P6S3-a_S30.16S.R1	15.894602634934127	61.83595410114742
Seed-P6S3-a_S30.16S.R2	10.380365490862728	60.52379940501484
Seed-P6S3-b_S38.16S.R1	14.689713799943327	64.00113346557094
Seed-P6S3-b_S38.16S.R2	9.645792009067724	60.30603570416549
Seed-P6S3-c_S46.16S.R1	15.154798761609909	62.69865841073273
Seed-P6S3-c_S46.16S.R2	9.045407636738906	60.99071207430338
Seed-P7S1-a_S54.16S.R1	14.042821158690177	65.2686817800168
Seed-P7S1-a_S54.16S.R2	17.262804366078928	55.428211586901796
Seed-P7S1-b_S62.16S.R1	13.43221871931366	66.43237376608607
Seed-P7S1-b_S62.16S.R2	16.73471497234999	54.814202284355716
Seed-P7S1-c_S70.16S.R1	13.050907796368815	65.68173727305089
Seed-P7S1-c_S70.16S.R2	16.550373798504804	54.56034175863297
Seed-P7S2-a_S78.16S.R1	13.587479599949784	63.74858768883128
Seed-P7S2-a_S78.16S.R2	17.387119722140852	53.081976817173725
Seed-P7S2-b_S86.16S.R1	13.103740147066603	64.39189546632805
Seed-P7S2-b_S86.16S.R2	15.584827805110299	54.499285827646396
Seed-P7S2-c_S93.16S.R1	13.553113553113553	63.95749465056391
Seed-P7S2-c_S93.16S.R2	16.4001015486164	52.02553222355205
Seed-P7S3-a_S7.16S.R1	15.65823414943205	65.35276281848219
Seed-P7S3-a_S7.16S.R2	17.91193374666244	49.28270805991764
Seed-P7S3-b_S15.16S.R1	15.289046653144018	64.50811359026369
Seed-P7S3-b_S15.16S.R2	18.823529411764707	52.464503042596334
Seed-P7S3-c_S23.16S.R1	14.581105169340464	65.5733808674985
Seed-P7S3-c_S23.16S.R2	18.37195484254308	53.51158645276294
Seed-P7S4-a_S31.16S.R1	16.842984409799556	61.937639198218264
Seed-P7S4-a_S31.16S.R2	21.497772828507795	49.821826280623654
Seed-P7S4-b_S39.16S.R1	15.679088910187744	63.14483847324806
Seed-P7S4-b_S39.16S.R2	19.230986074307943	51.271353667474735
Seed-P7S4-c_S47.16S.R1	16.124647077277004	62.84638711701345
Seed-P7S4-c_S47.16S.R2	19.664331276795984	50.454878176304526
Seed-PBS-a_S55.16S.R1	14.790080792042218	70.41983841591558
Seed-PBS-a_S55.16S.R2	17.732218745621818	62.95708214635968
Seed-PBS-b_S63.16S.R1	14.665073968574841	70.13231645685926
Seed-PBS-b_S63.16S.R2	16.723329964164293	63.006523936414595
Seed-PBS-c_S71.16S.R1	14.943355511598632	69.91098723251207
Seed-PBS-c_S71.16S.R2	16.73260204999101	63.01024995504408
Seed-Pram-120-a_S32.16S.R1	25.685688288054077	55.11070670306337
Seed-Pram-120-a_S32.16S.R2	31.400840591013473	43.58074439967065
Seed-Pram-120-b_S40.16S.R1	25.06534860510432	54.840549403545396
Seed-Pram-120-b_S40.16S.R2	30.402547407442608	43.76693122950422
Seed-Pram-120-c_S48.16S.R1	25.562410130339998	54.9283361937009
Seed-Pram-120-c_S48.16S.R2	29.662785843499233	44.120784823043564
Seed-Pram-120-d-a_S56.16S.R1	18.56768483911157	67.43566610817544
Seed-Pram-120-d-a_S56.16S.R2	24.30296000343687	58.82201314602396
Seed-Pram-120-d-b_S64.16S.R1	18.521241197864274	67.16319739998454
Seed-Pram-120-d-b_S64.16S.R2	23.465913487580284	58.80987386829685
Seed-Pram-120-d-c_S72.16S.R1	17.848755284170974	67.63347424455925
Seed-Pram-120-d-c_S72.16S.R2	22.921559417566932	59.41756693283232
Soil-Control-a_S154.16S.R1	32.99170326988775	50.002218377035334
Soil-Control-a_S154.16S.R2	23.004569856692843	54.90926837925369
Soil-Mock-a_S136.16S.R1	21.26922471261351	64.10162196210172
Soil-Mock-a_S136.16S.R2	24.350427799065667	57.109862999317585
Soil-P2S1-a_S95.16S.R1	4.096620067244736	46.827995045124716
Soil-P2S1-a_S95.16S.R2	2.813661298885153	30.34861086533354
Soil-P2S1-b_S101.16S.R1	3.2339319086698626	44.32843097424229
Soil-P2S1-b_S101.16S.R2	2.604208986755505	30.27951572275938
Soil-P2S1-c_S107.16S.R1	10.067458282378002	44.69604323641967
Soil-P2S1-c_S107.16S.R2	10.166081502228884	30.8453982405618
Soil-P2S2-a_S113.16S.R1	3.699796843256759	46.54633536490075
Soil-P2S2-a_S113.16S.R2	2.090170339115487	31.219721831536177
Soil-P2S2-b_S119.16S.R1	4.519096180763847	46.245750849830046
Soil-P2S2-b_S119.16S.R2	2.1045790841831633	32.32853429314137
Soil-P2S2-c_S125.16S.R1	4.122340425531915	45.80642097264438
Soil-P2S2-c_S125.16S.R2	2.1656534954407296	31.340235562310042
Soil-P2S3-a_S131.16S.R1	3.0405774909767036	45.29512559699588
Soil-P2S3-a_S131.16S.R2	2.1510080571657735	32.84479930001089
Soil-P2S3-b_S137.16S.R1	3.0255857581926318	45.2440825450046
Soil-P2S3-b_S137.16S.R2	2.211312018520736	30.830639045224125
Soil-P2S3-c_S143.16S.R1	3.0415367764765353	47.1817339287219
Soil-P2S3-c_S143.16S.R2	2.5949953660797034	32.87134552194796
Soil-P2S4-a_S149.16S.R1	4.033594020880687	46.13784335632007
Soil-P2S4-a_S149.16S.R2	2.400123280810571	31.818006703394094
Soil-P2S4-b_S155.16S.R1	3.2641072315075292	43.5379778255833
Soil-P2S4-b_S155.16S.R2	2.3208671189806385	29.360417011418157
Soil-P2S4-c_S160.16S.R1	3.7743768565155627	45.030995738086034
Soil-P2S4-c_S160.16S.R2	2.3408239700374533	29.90765853028543
