Group 1,Group 2,H,p-value,q-value
NA (n=14),hemp (n=50),21.42197802197802,3.685225904285297e-06,1.1055677712855892e-05
NA (n=14),oIlseed_rape (n=56),19.27299511353837,1.1329753104589413e-05,2.2659506209178827e-05
NA (n=14),tobacco (n=90),23.96335600907031,9.818677771591625e-07,5.891206662954976e-06
hemp (n=50),oIlseed_rape (n=56),0.27592790387183186,0.5993827196290406,0.5993827196290406
hemp (n=50),tobacco (n=90),0.5148936170213005,0.47302808563236354,0.5676337027588362
oIlseed_rape (n=56),tobacco (n=90),0.8717849044379591,0.35046164517935774,0.5256924677690367
