sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
Soil_P5S1_a	22721	15220	15220	10669	10200
Soil_P2S2_a	25596	17112	17112	11036	10944
Soil_P2S4_b	24172	16001	16001	10235	10117
Germ_P2S2_GR24_c	19291	13442	13442	11561	9251
Seed_P1S2_a	21858	15211	15211	12747	9336
Germ_P3S2_Colza_c	20731	14192	14192	12178	10352
Seed_Control_a	28699	19514	19514	17626	17467
Seed_P4S4_a	16353	10903	10903	9419	7170
Seed_Pram_120_a	23079	16386	16386	14292	9700
Seed_P3S5_b	22561	15847	15847	14042	11109
Soil_P4S1_b	22876	15514	15514	11211	10644
Germ_P4S1_GR24_c	23174	16004	16004	13351	9768
Seed_P4S2_c	27699	19351	19351	16633	12744
Seed_PBS_c	22244	15743	15743	14000	10777
Soil_P7S4_a	25059	17063	17063	11296	11105
Seed_P7S3_b	19720	13805	13805	11753	8855
Soil_P2S1_c	25349	16882	16882	12742	12674
Seed_P7S2_b	18903	13193	13193	10626	8164
Seed_P5S1_b	17777	12362	12362	9802	7982
Germ_P6S1_ACN_c	18504	12811	12811	11045	7859
Germ_P4S1_Colza_a	20981	14526	14526	11803	10613
Soil_P5S1_b	22136	14536	14536	10769	10519
Soil_P7S1_c	28255	19133	19133	13512	13292
Seed_P1S3_c	21852	15020	15020	12676	11325
Seed_P7S3_a	22097	14783	14783	12726	8987
Soil_P3S3_b	22495	14962	14962	10800	10576
Seed_P3S1_b	20729	14336	14336	12123	9258
Soil_P4S4_b	24725	16343	16343	11369	11299
Seed_P2S2_b	19466	13544	13544	11480	8293
Germ_P2S2_Chanvre_a	20153	13756	13756	11607	9741
Germ_P4S1_Chanvre_a	25555	17490	17490	14701	12000
Soil_P4S3_a	29030	19138	19138	13612	13403
Seed_P3S2_b	17126	11885	11885	10140	8424
Seed_P1S3_b	27007	18488	18488	15509	13305
Germ_P2S2_Colza_myro_b	20138	13792	13792	11994	9975
Germ_P4S1_Colza_b	20604	14507	14507	12354	9139
Seed_P1S1_c	24785	17124	17124	14549	12087
Germ_P6S1_Tabac_b	23906	16295	16295	14190	11768
Seed_P6S3_a	18824	13174	13174	11390	8695
Seed_Pram_120_d_a	23277	16644	16644	14566	10285
Soil_P2S1_b	24614	16543	16543	10863	10715
Germ_P2S2_Chanvre_c	20109	13732	13732	11916	9702
Germ_P3S2_Colza_myro_b	19438	13308	13308	10822	9822
Seed_P2S4_c	26502	18185	18185	15189	11454
Seed_P4S1_b	17205	11999	11999	10507	7943
Soil_P6S2_c	27541	18614	18614	12653	12521
Soil_P7S2_a	30607	20600	20600	15526	15274
Germ_P3S2_GR24_b	18128	12401	12401	10795	8734
Germ_Mock_a	16586	10766	10766	9947	6356
Soil_P4S2_a	26238	17751	17751	12113	11968
Germ_P3S2_Tabac_a	20068	13985	13985	11765	10704
Seed_Pram_120_b	21041	14775	14775	13072	9228
Soil_P5S2_c	26150	17337	17337	12580	12430
Germ_P4S1_ACN_a	23988	16641	16641	13985	12120
Germ_P4S1_Tabac_c	23376	16073	16073	13544	11198
Germ_P4S1_Colza_myro_c	20587	14295	14295	12300	10345
Germ_P6S1_GR24_c	19175	13452	13452	11809	7726
Germ_P4S1_GR24_a	22723	15751	15751	12621	10746
Seed_P5S1_a	18292	12613	12613	10389	7952
Germ_P4S1_GR24_b	23453	16090	16090	13222	11704
Soil_P7S3_c	26440	17907	17907	11590	11396
Germ_P4S1_Colza_myro_b	19078	13207	13207	11539	10030
Seed_P3S5_c	18907	13188	13188	11322	8833
Seed_P7S4_c	19126	13327	13327	11311	8343
Seed_P4S3_c	25603	17672	17672	14907	11258
Soil_P4S2_b	26163	17566	17566	13014	12756
Germ_P3S2_Chanvre_b	22242	15592	15592	13236	9984
Seed_P4S4_c	18893	12989	12989	11247	8010
Germ_P2S2_Chanvre_b	20691	14335	14335	11771	9887
Seed_P4S3_a	23099	16011	16011	13580	9972
Germ_P6S1_Colza_c	21983	15209	15209	12678	9615
Seed_P7S2_a	23897	16628	16628	14014	10469
Germ_P2S2_GR24_b	19066	13079	13079	11349	9640
Soil_P2S3_c	23738	15894	15894	10736	10646
Germ_P6S1_Chanvre_c	23064	15740	15740	14152	9832
Seed_P7S4_a	17960	12486	12486	10268	7869
Germ_P3S2_ACN_b	20408	14417	14417	11845	10381
Seed_P2S1_a	23720	16203	16203	13673	10425
Germ_P2S2_Tabac_b	17579	11903	11903	9987	8146
Soil_P6S3_b	25105	16896	16896	13050	12445
Germ_P6S1_Chanvre_b	22137	15381	15381	13163	8655
Germ_P6S1_Colza_myro_c	22265	15397	15397	12983	11168
Germ_P6S1_GR24_a	20153	13914	13914	11883	9374
Soil_P2S2_b	20004	13367	13367	8929	8876
Seed_P2S3_c	22417	15577	15577	13144	9575
Germ_P6S1_Colza_a	26145	18227	18227	15794	11846
Seed_P6S3_b	17645	12319	12319	10046	7828
Seed_P5S2_a	24670	17148	17148	14618	10378
Seed_P6S1_b	20593	14279	14279	12525	9631
Soil_P2S1_a	22604	14440	14440	8814	8721
Soil_P6S3_a	25455	17397	17397	12835	12369
Germ_P3S2_ACN_c	18608	12928	12928	10925	7964
Soil_Mock_a	19051	12668	12668	11481	7611
Soil_P3S3_c	25990	17418	17418	13394	12730
Seed_P3S1_a	22183	14954	14954	12726	9746
Seed_P7S2_c	27573	18966	18966	15820	11143
Soil_P2S4_c	30972	20517	20517	14712	14604
Seed_P5S2_c	24882	17237	17237	14596	10368
Soil_P3S1_a	24021	15596	15596	11855	11617
Seed_P3S5_a	21441	14636	14636	12695	9938
Soil_P5S1_c	21345	14003	14003	10033	9834
Seed_P6S2_a	19874	13545	13545	11608	9387
Seed_P7S1_b	19349	13516	13516	11479	7987
Soil_P4S4_a	24242	15390	15390	10757	10757
Germ_P4S1_Tabac_b	19826	13681	13681	10767	9174
Germ_P3S2_Colza_myro_c	19381	13468	13468	11228	9686
Germ_P4S1_Tabac_a	22251	15279	15279	12636	10261
Soil_P3S2_a	23512	16028	16028	12157	11771
Soil_P3S2_b	22715	15113	15113	11170	10968
Germ_Control_b	18378	12446	12446	12219	11895
Seed_P3S4_c	24632	16894	16894	14715	11984
Soil_P3S2_c	21194	14253	14253	10488	10343
Germ_P2S2_Tabac_c	20017	13802	13802	11827	9527
Germ_P3S2_Tabac_c	21209	14633	14633	12380	10987
Soil_P6S2_b	25575	17365	17365	12218	12027
Soil_P7S1_a	29112	19880	19880	14232	14030
Germ_P4S1_Chanvre_c	22261	15357	15357	13050	9563
Seed_P2S3_a	20903	14584	14584	12075	9076
Seed_P6S2_c	18615	12956	12956	11598	9242
Soil_P3S5_b	30854	20555	20555	15399	14876
Soil_P5S2_a	21479	14330	14330	10635	10455
