sample,date,molecules,EC50,Sd,p_value,Tmax,Tmax_rel,plot,host,mlg,buvo_gen_dist
P1S3,180606,+eGR24,1.57E-10,8.47E-10,8.55E-01,0.315,1.30935251798561,P1,Oilseed rape,MLG16,0
P1S4,180606,+eGR24,9.43E-10,1.48E-09,5.32E-01,0.468,1.31159807589524,P1,Oilseed rape,MLG17,0
P2S1,180613,+eGR24,9.48E-11,2.87E-10,7.44E-01,0.58,1.4497528830313,P2,Oilseed rape,MLG15,0
P2S2,180606,+eGR24,7.71E-10,1.44E-09,5.98E-01,0.263,1.15859766277129,P2,Oilseed rape,MLG17,0
P2S3,180606,+eGR24,2.31E-10,4.77E-11,8.67E-05,0.365,1.15015180789401,P2,Oilseed rape,MLG17,0
P2S4,180613,+eGR24,2.49E-11,1.19E-10,8.36E-01,0.493,1.20362622036262,P2,Oilseed rape,MLG17,0
P3S1,190314,+eGR24,9.05E-10,1.76E-10,4.22E-05,0.205,1.17446436379537,P3,Tobacco,MLG6,0.518211364746094
P3S2,180613,+eGR24,1.05E-10,2.77E-11,1.63E-03,0.548,1.83456930975471,P3,Tobacco,MLG7,0.530706787109375
P3S3,180613,+eGR24,1.07E-10,1.10E-10,3.41E-01,0.254,1.43592233009709,P3,Tobacco,MLG7,0.530706787109375
P3S4,180627,+eGR24,1.35E-11,3.16E-11,6.75E-01,0.208,1.69795918367347,P3,Tobacco,MLG7,0.530706787109375
P3S5,180627,+eGR24,3.31E-10,2.01E-10,1.18E-01,0.374,1.25531914893617,P3,Tobacco,MLG5,0.518217468261719
P4S1,180704,+eGR24,1.09E-09,3.84E-10,1.08E-02,0.361,1.17779024116657,P4,Tobacco,MLG1,0.474693298339844
P4S2,180704,+eGR24,1.47E-09,1.40E-09,3.06E-01,0.684,1.47037307973665,P4,Tobacco,MLG2,0.474693298339844
P4S3,180704,+eGR24,4.60E-10,7.96E-11,1.80E-05,0.416,1.03303303303303,P4,Tobacco,MLG3,0.493125915527344
P4S4,180704,+eGR24,4.20E-09,1.45E-09,8.60E-03,0.387,1.17252228631358,P4,Tobacco,MLG4,0.480943298339844
P5S1,190306,+eGR24,3.38E-10,8.54E-11,6.78E-04,0.294,1.19747899159664,P5,Tobacco,MLG8,0.524481201171875
P5S2,190306,+eGR24,3.88E-10,7.41E-11,4.64E-05,0.448,1.17193763919822,P5,Tobacco,MLG9,0.511993408203125
P6S1,190306,+eGR24,3.91E-08,5.83E-09,6.22E-07,0.31,1.20349227669577,P6,Hemp,MLG12,0.532745361328125
P6S2,190306,+eGR24,5.49E-08,1.71E-08,3.67E-03,0.263,1.35844719703742,P6,Hemp,MLG11,0.520245361328125
