Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
b7a515eb47cca606db0ea74b20013f4f,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,unidentified
b86946d75af7d7ab0993d9146972c08e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus_stercoreus
b87eb16a9434b5a7d8b39bf7c4a6f9df,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unidentified,unidentified,unidentified
b94243d7c33901a0b73331253f4367c0,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
ba3eef8c4ca5d9ad1e5bbdf7d8686557,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,Daedaleopsis_confragosa
bd2d46ad95df30d0a1453108bd6b37eb,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,unidentified
bd6c64e4a0f272e1ae645d0d39254e91,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
bdbdaae99958a58a2640df4da4fdf2c0,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,unidentified
be08ff733b403310a6f76ae0e4fe59f0,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphoderma,Hyphoderma_obtusiforme
be90ccd41d48b863f87087d4aa08ff9d,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,unidentified
bef92194cc0779413290f0f4acf32f2b,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_psychrotolerans
bf1dbea392a66a8bf911459f7084f2b5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,unidentified
bfdc86b4a7c660759cfbcc5651d4bddc,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified
c0c43e66ba7262d0d35e89a3c4da4045,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified
c0c4fcb92b540fb4db51107de945736f,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae
